file,line,type,commit,author,date,time,timezone,datetime,depth,length
static/styles.css,1,css,abdc741e,Sante,2025-03-30,23:04:06,-03:00,2025-03-30T23:04:06-03:00,0,52
static/styles.css,2,css,d1835b57,Sante,2025-03-27,12:46:40,-03:00,2025-03-27T12:46:40-03:00,0,5
static/styles.css,3,css,abdc741e,Sante,2025-03-30,23:04:06,-03:00,2025-03-30T23:04:06-03:00,1,15
static/styles.css,4,css,abdc741e,Sante,2025-03-30,23:04:06,-03:00,2025-03-30T23:04:06-03:00,1,17
static/styles.css,5,css,abdc741e,Sante,2025-03-30,23:04:06,-03:00,2025-03-30T23:04:06-03:00,1,22
static/styles.css,6,css,abdc741e,Sante,2025-03-30,23:04:06,-03:00,2025-03-30T23:04:06-03:00,1,19
static/styles.css,7,css,abdc741e,Sante,2025-03-30,23:04:06,-03:00,2025-03-30T23:04:06-03:00,1,16
static/styles.css,8,css,abdc741e,Sante,2025-03-30,23:04:06,-03:00,2025-03-30T23:04:06-03:00,1,17
static/styles.css,9,css,abdc741e,Sante,2025-03-30,23:04:06,-03:00,2025-03-30T23:04:06-03:00,0,0
static/styles.css,10,css,abdc741e,Sante,2025-03-30,23:04:06,-03:00,2025-03-30T23:04:06-03:00,1,15
static/styles.css,11,css,abdc741e,Sante,2025-03-30,23:04:06,-03:00,2025-03-30T23:04:06-03:00,1,26
static/styles.css,12,css,abdc741e,Sante,2025-03-30,23:04:06,-03:00,2025-03-30T23:04:06-03:00,1,17
static/styles.css,13,css,abdc741e,Sante,2025-03-30,23:04:06,-03:00,2025-03-30T23:04:06-03:00,1,20
static/styles.css,14,css,abdc741e,Sante,2025-03-30,23:04:06,-03:00,2025-03-30T23:04:06-03:00,1,20
static/styles.css,15,css,abdc741e,Sante,2025-03-30,23:04:06,-03:00,2025-03-30T23:04:06-03:00,1,22
static/styles.css,16,css,abdc741e,Sante,2025-03-30,23:04:06,-03:00,2025-03-30T23:04:06-03:00,1,28
static/styles.css,17,css,d1835b57,Sante,2025-03-27,12:46:40,-03:00,2025-03-27T12:46:40-03:00,0,0
static/styles.css,18,css,d1835b57,Sante,2025-03-27,12:46:40,-03:00,2025-03-27T12:46:40-03:00,0,0
static/styles.css,19,css,d1835b57,Sante,2025-03-27,12:46:40,-03:00,2025-03-27T12:46:40-03:00,0,5
static/styles.css,20,css,abdc741e,Sante,2025-03-30,23:04:06,-03:00,2025-03-30T23:04:06-03:00,1,14
static/styles.css,21,css,abdc741e,Sante,2025-03-30,23:04:06,-03:00,2025-03-30T23:04:06-03:00,1,26
static/styles.css,22,css,abdc741e,Sante,2025-03-30,23:04:06,-03:00,2025-03-30T23:04:06-03:00,1,17
static/styles.css,23,css,abdc741e,Sante,2025-03-30,23:04:06,-03:00,2025-03-30T23:04:06-03:00,1,20
static/styles.css,24,css,abdc741e,Sante,2025-03-30,23:04:06,-03:00,2025-03-30T23:04:06-03:00,1,20
static/styles.css,25,css,abdc741e,Sante,2025-03-30,23:04:06,-03:00,2025-03-30T23:04:06-03:00,1,22
static/styles.css,26,css,abdc741e,Sante,2025-03-30,23:04:06,-03:00,2025-03-30T23:04:06-03:00,1,27
static/styles.css,27,css,c9267f1c,Sante,2025-03-20,12:51:03,-03:00,2025-03-20T12:51:03-03:00,0,0
static/styles.css,28,css,c9267f1c,Sante,2025-03-20,12:51:03,-03:00,2025-03-20T12:51:03-03:00,0,0
static/styles.css,29,css,abdc741e,Sante,2025-03-30,23:04:06,-03:00,2025-03-30T23:04:06-03:00,0,1
static/styles.css,30,css,abdc741e,Sante,2025-03-30,23:04:06,-03:00,2025-03-30T23:04:06-03:00,1,8
static/styles.css,31,css,abdc741e,Sante,2025-03-30,23:04:06,-03:00,2025-03-30T23:04:06-03:00,1,9
static/styles.css,32,css,abdc741e,Sante,2025-03-30,23:04:06,-03:00,2025-03-30T23:04:06-03:00,1,21
static/styles.css,33,css,abdc741e,Sante,2025-03-30,23:04:06,-03:00,2025-03-30T23:04:06-03:00,1,23
static/styles.css,34,css,c9267f1c,Sante,2025-03-20,12:51:03,-03:00,2025-03-20T12:51:03-03:00,0,0
static/styles.css,35,css,c9267f1c,Sante,2025-03-20,12:51:03,-03:00,2025-03-20T12:51:03-03:00,0,0
static/styles.css,36,css,abdc741e,Sante,2025-03-30,23:04:06,-03:00,2025-03-30T23:04:06-03:00,0,4
